1642929653,279,-34,3167,-1536,-8896,31616
1642929654,-1326,-829,3625,-1003,-5938,23247
1642929655,-811,-2695,2800,50,-2340,17623
1642929656,-923,-2616,2879,-52,-2386,17166
1642929657,-947,-2690,2779,70,-2406,17110
1642929658,-944,-2714,2709,-46,-2373,11616
1642929659,-668,-2292,2269,-42,-1943,9662
1642929660,1663,-25013,30997,1934,-1969,1478
1642929661,-2208,-2874,1800,6529,-4148,32822
1642929662,-813,1281,1183,5833,-3521,32894
1642929663,-682,-2704,2784,5519,-3766,31059
1642929664,-670,-2658,2855,5454,-3588,30996
1642929665,-718,-2680,2780,5290,-3452,31052
1642929666,-802,-2553,2643,5298,-3273,29094
1642929667,-713,-2624,3141,5244,-3219,31107
1642929668,-630,-2722,2962,5328,-3260,33058
1642929669,-635,-2687,3118,5438,-3231,31086
1642929670,-834,-2589,2594,5190,-3170,26994
1642929671,-353,-1562,1852,5164,-3161,31036
1642929672,-174,-5635,-3698,6097,-3906,17323
1642929673,19934,1013,-15369,4394,-2916,8029
1642929674,-798,-1312,175,-104,-727,19520
1642929675,-666,-3534,2562,-218,-871,27331
1642929676,-692,-3718,3070,-52,-2364,23074
1642929677,-663,-3691,2987,7,-3984,30936
1642929678,-744,-3326,2869,273,-4704,21069
1642929679,-446,-2523,2153,192,-4803,14042
1642929680,653,-3009,1197,442,-4565,17390
1642929681,2471,-2742,1115,647,-4852,14057
1642929682,4443,-2786,753,853,-4749,11487
1642929683,5906,-2784,1558,977,-4749,17497
1642929684,6420,-2440,2364,1082,-4631,11618
1642929685,6530,-2346,2460,1126,-4493,17568
1642929686,6469,-2399,2303,987,-4497,11582
1642929687,6472,-2299,2500,907,-4553,17456
1642929688,6355,-2468,2438,1045,-4631,9477
1642929689,5618,-2273,3569,818,-4460,13579
1642929690,4044,-2367,4239,570,-4592,11572
1642929691,2480,-2320,4748,574,-4648,13614
1642929692,692,-2350,4646,279,-4800,21279
1642929693,-1135,-2282,4866,93,-5215,21449
1642929694,-2620,-2357,4917,3,-5195,17408
1642929695,-4056,-2226,4992,24,-5854,10852
1642929696,-5198,-2166,5046,67,-5744,15460
1642929697,-6585,-2147,4109,11,-5317,11595
